6.293678198614091e-15	1.3117024640732542e7	3.3812619067139686e6	5.420778642909681e8	548828.5551599453	14408.520102613782	5.907240479053451e6
2.5266688938635702e-14	17170.872913266212	1.0444329777171562e6	9.99999995463909e8	2.4179805436178683e6	7.812639978421584e6	5.683823498157434e6
3.158773665173235e-14	9.268511048287315e8	9.601431205686675e6	1.9753238122725007e8	193533.42549525446	11190.708533166086	1.1797708875261211e8
3.7505084463886864e-14	9931.782432274464	1.3613536698468365e6	1.9709444594959366e8	4.0097406181079453e8	1.0128838568133502e8	38864.91876095572
5.502941454917982e-14	9939.593796162844	1.919456398370882e6	6.814152827541468e8	5.4610305402572e8	1.7218297447919384e7	11904.238878616956
7.781617684062953e-14	16867.05169421795	2.3530842805819165e7	1.0079652472059727e7	1105.9309145081995	2.5157274000502968e8	1.7585981477902818e8
8.526673594835052e-14	164710.47304627072	8.154155836939344e6	8.538786181147627e8	925337.505101907	12113.089901199764	24158.885697649952
1.52179073901635e-13	10494.276957864557	1.0438041844198797e6	8.136767074100702e8	1.5320445214338776e7	9.974021169093795e8	5.698592445681247e7
3.3187062276204027e-13	2.856952324449903e8	1.9590636171760913e6	9.982991192805715e8	1.0183564775168657e6	21191.0729851627	3.24154486360678e8
0.000013858576384913595	2.393732980503892e7	2.328194144170851e6	9.915109765336899e8	1.0178574212743153e6	17899.152220713928	1.9181532936587673e7
0.0006396815371144526	195958.70427201287	5.170360437045355e6	1.1515261344812315e7	2502.370086872262	4.449432498941163e7	8.303280072061375e8
0.0027267491781490195	235718.31789305323	2.0972113256741006e7	1.1027114674364788e7	578.5481013389168	2.0670805501642823e7	4.738075272187355e8
0.0051480714826644975	9822.557981615799	5.872658717166443e6	1.3833814996525334e7	3.203252417194456e7	9.999971342066997e8	77863.21205129412
0.012730951301092745	9775.54982516947	6.145976980902348e6	1.526196890464057e7	4.2779548150452515e6	6.313526475170962e7	38333.93399944039
0.019858721693920677	9939.846419773688	1.2990007550837637e6	8.530146988458049e8	3.2735020413246762e7	9.995326796419086e8	2.1326099119454667e7
0.025085124310605316	830431.7819202056	2.8322887509428314e6	1.0670340537185373e7	4202.7227733461405	1.231701930944687e6	9.810463977011958e7
0.025841940518767672	9712.912581482153	1.3961346428819107e7	1.3668874955818636e7	2.1728362974288436e6	6.640407985738256e8	310775.01831435284
0.05426494861757247	2.1798878170217562e8	1.8954939661830405e6	9.024613510229697e8	617727.7734722876	46696.585924734216	8.394904157461652e8
